Stop_ID,point1,Stop_ID,point2,distance
6334,"Frascati Road",7113,"Ballymun Road",12.677534415997446
6334,"Frascati Road",7113,"Ballymun Road",12.82223129880252
6334,"Frascati Road",7113,"Ballymun Road",12.82223129880252
6334,"Frascati Road",7113,"Ballymun Road",12.82223129880252
6334,"Frascati Road",7113,"Ballymun Road",12.90924420574962
113,"Ballymun Road",7113,"Ballymun Road",0.6277493439889454
113,"Ballymun Road",7113,"Ballymun Road",0.6438584114784899
147,"Mobhi Road",7113,"Ballymun Road",2.827381385956243
147,"Mobhi Road",7113,"Ballymun Road",2.9418555034664045
147,"Mobhi Road",7113,"Ballymun Road",3.093507486252569
273,"O'Connell St",7113,"Ballymun Road",5.645782283351621
273,"O'Connell St",7113,"Ballymun Road",5.645782283351621
273,"O'Connell St",7113,"Ballymun Road",5.645782283351621
273,"O'Connell St",7113,"Ballymun Road",5.645782283351621
273,"O'Connell St",7113,"Ballymun Road",5.67821884684534
273,"O'Connell St",7113,"Ballymun Road",5.781422410860666
273,"O'Connell St",7113,"Ballymun Road",5.856779862514914
273,"O'Connell St",7113,"Ballymun Road",5.877410478699741
273,"O'Connell St",7113,"Ballymun Road",5.941126767526673
408,"Merrion Sq",7113,"Ballymun Road",6.399051634786929
408,"Merrion Sq",7113,"Ballymun Road",6.488752310784614
412,"Northumberland Rd",7113,"Ballymun Road",7.190336235656133
414,"Pembroke Road",7113,"Ballymun Road",7.63927943640565
414,"Pembroke Road",7113,"Ballymun Road",7.761249599533927
416,Ballsbridge,7113,"Ballymun Road",8.039302537533255
416,Ballsbridge,7113,"Ballymun Road",8.08753999451841
416,Ballsbridge,7113,"Ballymun Road",8.130706569975814
418,"Merrion Road",7113,"Ballymun Road",8.466531184914238
418,"Merrion Road",7113,"Ballymun Road",8.569461427590525
422,"Merrion Road",7113,"Ballymun Road",9.562783626109606
422,"Merrion Road",7113,"Ballymun Road",9.562783626109606
422,"Merrion Road",7113,"Ballymun Road",9.6935030811076
424,"Merrion Road",7113,"Ballymun Road",10.009951682836123
424,"Merrion Road",7113,"Ballymun Road",10.132739358609346
424,"Merrion Road",7113,"Ballymun Road",10.18347323135565
424,"Merrion Road",7113,"Ballymun Road",10.350075189656877
426,"Rock Road",7113,"Ballymun Road",10.60000553290776
426,"Rock Road",7113,"Ballymun Road",10.860496505371813
428,"Rock Road",7113,"Ballymun Road",11.329240129178249
428,"Rock Road",7113,"Ballymun Road",11.500487814412246
6334,"Frascati Road",7113,"Ballymun Road",12.076603347986993
6334,"Frascati Road",7113,"Ballymun Road",12.076603347986993
6334,"Frascati Road",7113,"Ballymun Road",12.16074518843695
6334,"Frascati Road",7113,"Ballymun Road",12.1670659404405
6334,"Frascati Road",7113,"Ballymun Road",12.346493237765436
6334,"Frascati Road",7113,"Ballymun Road",12.561608443489314
6334,"Frascati Road",7113,"Ballymun Road",12.706632721934959
6334,"Frascati Road",7113,"Ballymun Road",12.706632721934959
6334,"Frascati Road",7113,"Ballymun Road",12.706632721934959
6334,"Frascati Road",7113,"Ballymun Road",12.793755813562234
113,"Ballymun Road",7113,"Ballymun Road",0.4596065116472679
113,"Ballymun Road",7113,"Ballymun Road",0.4757174326599046
147,"Mobhi Road",7113,"Ballymun Road",2.658988233903458
