,Intercept,Stop_sequence,scheduled_speed_per_stop,stops_travelled,Time_bin_xxx,DayOfWeek,Prediction
38243,1.0,57.0,0.9836065573770492,54.0,7110.0,2.0,6.692167353085703
63146,1.0,61.0,0.9836065573770492,59.0,15111.0,0.0,3.873888888888888
69900,1.0,61.0,0.9836065573770492,59.0,13100.0,5.0,11.700965066168214
43313,1.0,25.0,0.9836065573770492,55.0,19000.0,0.0,39.6
133794,1.0,56.0,0.9836065573770492,39.0,6110.0,2.0,0.5766666666666667
62462,1.0,61.0,0.9836065573770492,42.0,10100.0,6.0,1.8490981240981241
14728,1.0,27.0,0.9836065573770492,52.0,16100.0,4.0,29.79
67077,1.0,61.0,0.9836065573770492,60.0,13000.0,0.0,6.1616579650999155
39534,1.0,15.0,0.9836065573770492,57.0,9100.0,1.0,58.0
25966,1.0,57.0,0.9836065573770492,52.0,17000.0,0.0,16.419488368550798
61337,1.0,61.0,0.9836065573770492,60.0,9000.0,4.0,8.416736907067
93771,1.0,37.0,0.9836065573770492,54.0,17000.0,2.0,32.422045454545454
38601,1.0,57.0,0.9836065573770492,40.0,10100.0,3.0,2.8805194805194803
