stopid,displaystopid,shortname,fullname,latitude,longitude,lastupdated,OperatorName,routes,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,route11,route12,route13,route14,route15,route16,route17,route18,route19,route20,route21,route22,route23
7284,7284,Ballymore Road,Ballymore Road,53.12878194,-6.587433889,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7286,7286,Ballymore Road,Ballymore Road,53.126495,-6.580556111,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7287,7287,Blessington Road,Blessington Road,53.12926889,-6.576531944,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7288,7288,Crowleys Lane,Crowleys Lane,53.12941889,-6.576263889,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7289,7289,Ballymore Eustace,Ballymore Eustace,53.13340306,-6.614838889,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7290,7290,Belarmine Ave,Belarmine Ave,53.26028111,-6.220981111,29/05/2017 09:46,bac,"47, , , , , , , , , , , , , , , , , , , , , , ",47,,,,,,,,,,,,,,,,,,,,,,
7291,7291,Enniskerry Rd,Enniskerry Rd,53.25562806,-6.219285,29/05/2017 09:46,bac,"47, , , , , , , , , , , , , , , , , , , , , , ",47,,,,,,,,,,,,,,,,,,,,,,
7292,7292,Thomas Hand St,Thomas Hand St,53.577535,-6.112308056,29/05/2017 09:46,bac,"33, 33X, 33A, , , , , , , , , , , , , , , , , , , , ",33,33X,33A,,,,,,,,,,,,,,,,,,,,
7293,7293,Rathfarnham Rd,Rathfarnham Rd,53.30616111,-6.283521111,29/05/2017 09:46,bac,"16, , , , , , , , , , , , , , , , , , , , , , ",16,,,,,,,,,,,,,,,,,,,,,,
7294,7294,Bray Main Street,Bray Main Street,53.20471,-6.109256111,29/05/2017 09:46,bac,"185, 145, 45A, 84, 84A, , , , , , , , , , , , , , , , , , ",185,145,45A,84,84A,,,,,,,,,,,,,,,,,,
7295,7295,Dargle Road,Dargle Road,53.20528306,-6.119371111,29/05/2017 09:46,bac,"185, , , , , , , , , , , , , , , , , , , , , , ",185,,,,,,,,,,,,,,,,,,,,,,
7296,7296,Newcastle Rd,Newcastle Rd,53.09861889,-6.067578889,29/05/2017 09:46,bac,"84X, 84, , , , , , , , , , , , , , , , , , , , , ",84X,84,,,,,,,,,,,,,,,,,,,,,
7297,7297,Connolly Hospital,Connolly Hospital,53.38801306,-6.370725,29/05/2017 09:46,bac,"17A, 220, , , , , , , , , , , , , , , , , , , , , ",17A,220,,,,,,,,,,,,,,,,,,,,,
7298,7298,Connolly Hospital,Connolly Hospital,53.38759111,-6.37034,29/05/2017 09:46,bac,"220, 17A, , , , , , , , , , , , , , , , , , , , , ",220,17A,,,,,,,,,,,,,,,,,,,,,
7313,7313,Easton Road,Easton Road,53.36547694,-6.522741111,29/05/2017 09:46,bac,"66X, , , , , , , , , , , , , , , , , , , , , , ",66X,,,,,,,,,,,,,,,,,,,,,,
7314,7314,Easton Road,Easton Road,53.36537611,-6.522453056,29/05/2017 09:46,bac,"66X, , , , , , , , , , , , , , , , , , , , , , ",66X,,,,,,,,,,,,,,,,,,,,,,
7317,7317,Wyattville Road,Wyattville Road,53.252175,-6.124915,29/05/2017 09:46,bac,"7B, , , , , , , , , , , , , , , , , , , , , , ",7B,,,,,,,,,,,,,,,,,,,,,,
7318,7318,Cruiserath Rd,Cruiserath Rd,53.40991111,-6.368426111,29/05/2017 09:46,bac,"40D, 38, 38B, 220, , , , , , , , , , , , , , , , , , , ",40D,38,38B,220,,,,,,,,,,,,,,,,,,,
7319,7319,Cruiserath Rd,Cruiserath Rd,53.40962194,-6.368718889,29/05/2017 09:46,bac,"220, 38A, 38, , , , , , , , , , , , , , , , , , , , ",220,38A,38,,,,,,,,,,,,,,,,,,,,
7320,7320,Philipsburgh Avenue,Philipsburgh Avenue,53.36849,-6.23957,29/05/2017 09:46,bac,"123, , , , , , , , , , , , , , , , , , , , , , ",123,,,,,,,,,,,,,,,,,,,,,,
